gene	conMean	treatMean	logFC	pValue	fdr
RP11-388M20.2	0.827310724	1.999578897	1.172268173	2.27E-20	3.70E-20
PODN	5.387341088	3.668649677	-1.718691411	1.12E-82	7.67E-82
CH17-360D5.2	2.948894251	1.126848784	-1.822045467	1.72E-86	1.32E-85
CCNO	0.979311272	2.297303721	1.317992449	9.05E-57	3.02E-56
TCTEX1D1	2.183005301	0.697403747	-1.485601554	8.07E-88	6.52E-87
MGP	9.526203499	7.806989771	-1.719213728	7.29E-77	4.19E-76
SSTR1	2.102307978	0.690177066	-1.412130912	1.18E-96	1.32E-95
USP15	5.485661496	4.45321945	-1.032442046	1.17E-78	7.14E-78
BCL2A1	5.087518593	3.446756769	-1.640761824	2.82E-80	1.81E-79
SCN7A	4.181931938	1.391574834	-2.790357104	2.24E-123	1.70E-121
AMOTL1	3.620277904	2.263122343	-1.357155561	2.46E-105	4.19E-104
TMEM184A	1.778182048	3.541370715	1.763188667	3.84E-100	5.02E-99
MAGI2-AS3	4.166497249	2.283174228	-1.883323021	6.35E-120	3.18E-118
MPP1	5.287699328	3.665635727	-1.622063601	3.22E-107	6.11E-106
CADM3	1.938294977	0.90590992	-1.032385057	1.52E-65	6.38E-65
DOT1L	3.703778571	2.386914936	-1.316863635	4.04E-104	6.46E-103
NR4A1	7.711410177	5.240909477	-2.4705007	2.36E-81	1.55E-80
UACA	5.059036675	3.375884041	-1.683152634	1.94E-109	4.33E-108
PKD1	5.54337042	3.92789928	-1.61547114	2.50E-91	2.28E-90
CHID1	5.043259146	6.073009411	1.029750266	9.87E-110	2.24E-108
GIMAP6	4.297877021	2.766154167	-1.531722854	1.85E-98	2.23E-97
PALLD	6.120287924	5.079728064	-1.04055986	1.12E-56	3.73E-56
BCL6	6.426947414	4.511121704	-1.91582571	3.27E-104	5.25E-103
C1S	7.929557811	6.838424362	-1.091133449	2.51E-58	8.73E-58
AC109642.1	2.025967703	0.780834499	-1.245133203	1.48E-79	9.23E-79
ITIH4	3.22755888	1.897111738	-1.330447142	1.28E-56	4.26E-56
SGIP1	3.133959798	1.360105874	-1.773853924	3.46E-100	4.53E-99
HOXA5	3.788875345	1.901546395	-1.88732895	2.00E-114	6.15E-113
HMBS	3.347529974	4.35487172	1.007341746	2.48E-74	1.31E-73
RN7SKP16	1.700892098	0.584535448	-1.11635665	3.04E-62	1.17E-61
IGHV4-4	1.783978817	3.633935466	1.849956648	8.28E-32	1.67E-31
RP11-334C17.5	3.049961647	1.943450371	-1.106511276	7.54E-44	1.93E-43
BCRP3	3.10788466	2.030215256	-1.077669404	6.25E-50	1.81E-49
RSRP1	6.287492908	4.794346868	-1.49314604	1.05E-67	4.64E-67
LILRB3	5.04684768	2.379836464	-2.667011216	1.31E-118	5.78E-117
FAM157C	3.285270946	2.052277911	-1.232993035	1.21E-54	3.88E-54
ZNF219	4.701900125	3.248822627	-1.453077498	5.09E-100	6.63E-99
RASGRP2	4.89519282	2.135444644	-2.759748176	1.34E-122	9.18E-121
RP11-159D12.2	3.00596648	1.852813573	-1.153152907	9.62E-53	2.95E-52
RNF217	2.928332837	1.678411717	-1.24992112	2.41E-84	1.73E-83
P4HB	8.324608781	9.456644599	1.132035818	9.96E-104	1.55E-102
LRRN4CL	1.51284656	0.473730122	-1.039116438	2.14E-92	2.03E-91
RUSC1-AS1	3.2740656	2.026581158	-1.247484441	1.72E-66	7.39E-66
NCKAP5	2.284912776	0.711617429	-1.573295348	2.63E-99	3.33E-98
VWA1	4.620886454	6.176804171	1.555917717	1.48E-93	1.45E-92
MSH2	2.30980835	3.659760703	1.349952354	2.30E-115	7.76E-114
GLB1L3	0.186212536	1.623289794	1.437077258	1.98E-35	4.27E-35
VCL	5.805417057	4.693294761	-1.112122296	1.29E-88	1.07E-87
TPSD1	2.34453418	0.968640436	-1.375893743	9.49E-46	2.52E-45
ACKR1	5.928180685	2.778439582	-3.149741103	5.37E-112	1.41E-110
GJC1	2.464245607	1.327450428	-1.136795179	2.17E-81	1.43E-80
RP11-43N16.4	2.371852546	0.98080687	-1.391045676	1.26E-77	7.38E-77
BACE2	3.995019661	5.082066965	1.087047304	6.24E-43	1.56E-42
ARHGEF40	4.511658386	3.089638125	-1.422020261	1.37E-95	1.46E-94
MFAP4	8.408926322	5.010110438	-3.398815883	1.91E-124	1.78E-122
ABI3BP	5.840717375	3.008513661	-2.832203714	1.09E-126	1.60E-124
PHKA1	1.188835675	2.280024397	1.091188721	4.72E-114	1.41E-112
MRPS34	5.191787376	6.37054318	1.178755804	2.10E-112	5.65E-111
IGKV1-5	4.832900551	7.385691605	2.552791054	1.03E-59	3.74E-59
KRTCAP2	6.976919608	8.09879863	1.121879022	2.79E-107	5.31E-106
KRTCAP3	3.894947966	5.926291352	2.031343386	5.51E-108	1.10E-106
ABTB1	5.423145676	3.885742609	-1.537403067	2.17E-112	5.84E-111
PEBP4	5.717722982	3.200425333	-2.51729765	5.98E-60	2.18E-59
ALDH1A2	2.644665786	1.501454323	-1.143211463	7.81E-63	3.05E-62
GOLGA8A	5.034244897	3.180514248	-1.853730649	3.47E-69	1.59E-68
PKN3	3.337222787	2.310347483	-1.026875304	6.67E-86	5.02E-85
PDZK1IP1	4.594255026	6.002873965	1.408618938	2.66E-42	6.56E-42
C6orf132	2.468373839	3.57724906	1.10887522	6.71E-75	3.63E-74
CCDC102B	3.615429431	2.131223134	-1.484206297	3.66E-92	3.43E-91
WFDC3	1.201448603	3.588699853	2.38725125	1.66E-78	1.00E-77
CCDC17	2.742636782	1.130002303	-1.612634479	5.06E-64	2.04E-63
TLCD1	2.760145124	4.764345295	2.004200172	1.85E-114	5.69E-113
GAS7	3.795189201	2.281193896	-1.513995305	1.39E-107	2.70E-106
LINC00930	1.569273795	0.417885304	-1.151388492	6.38E-87	4.96E-86
NIFK	4.110496412	5.17268458	1.062188168	1.06E-101	1.49E-100
KIF12	1.00221144	2.128901567	1.126690127	2.99E-38	6.82E-38
BRI3BP	1.23909861	2.56192618	1.32282757	1.99E-123	1.54E-121
TPMT	2.63432263	3.706003469	1.071680839	1.51E-115	5.20E-114
MCF2L	4.617228134	3.306267459	-1.310960675	4.08E-59	1.45E-58
MYCT1	3.62665324	1.755563276	-1.871089964	2.68E-127	4.69E-125
WFS1	5.348017758	3.967597102	-1.380420657	1.62E-104	2.64E-103
GSTA1	2.24645635	3.310340497	1.063884147	5.13E-11	6.95E-11
KRT19	7.405866987	8.785427974	1.379560987	1.54E-58	5.40E-58
MIF	7.377925503	8.565708878	1.187783374	8.73E-76	4.84E-75
MEIS1	4.790863042	2.448554124	-2.342308918	7.43E-124	6.17E-122
CXADR	2.099403552	3.579688982	1.48028543	1.38E-79	8.60E-79
SRGN	7.873271428	6.631514801	-1.241756627	1.39E-66	6.01E-66
TRIM2	2.534065739	4.030266767	1.496201027	7.02E-88	5.68E-87
ILDR1	1.260853844	2.75450441	1.493650567	2.99E-98	3.58E-97
KIF1C	5.915916196	4.735663211	-1.180252985	8.73E-101	1.18E-99
ANKEF1	0.890388418	1.912803814	1.022415396	3.98E-102	5.74E-101
CADM3-AS1	1.282846884	0.186832572	-1.096014312	1.44E-116	5.39E-115
MAGED1	5.333741866	6.612450011	1.278708145	1.01E-106	1.85E-105
SPHK1	3.968073278	2.908765933	-1.059307345	2.77E-34	5.85E-34
CDK3	3.106469049	2.016313159	-1.09015589	2.66E-59	9.54E-59
GPR4	3.878687898	1.601607135	-2.277080762	2.53E-121	1.46E-119
ALG1	3.189106601	4.384379176	1.195272575	2.26E-108	4.67E-107
BPIFB1	3.209118427	4.252319303	1.043200876	1.84E-08	2.35E-08
GLB1L2	1.982898263	3.497869412	1.514971149	1.08E-74	5.78E-74
OLFM1	3.587623265	2.294337202	-1.293286064	2.18E-54	6.95E-54
CCNL2	6.833777486	5.612281586	-1.221495901	2.18E-60	8.03E-60
LTBP4	7.733609876	5.253113977	-2.480495899	1.68E-122	1.13E-120
MCM2	1.893300996	3.731174797	1.837873801	6.69E-114	1.97E-112
COMP	2.153354602	3.259135545	1.105780943	1.06E-19	1.70E-19
UCHL5	3.297719423	4.45218063	1.154461207	2.52E-119	1.20E-117
LYL1	3.326014349	2.216874624	-1.109139725	5.11E-71	2.46E-70
TMSB4XP4	1.933333698	0.851240442	-1.082093256	7.81E-89	6.55E-88
ELANE	2.425104705	0.392679769	-2.032424937	1.53E-96	1.70E-95
IGHV3-64	0.732045428	1.744483961	1.012438532	2.59E-23	4.45E-23
TLE2	5.204526312	4.110692254	-1.093834058	2.26E-71	1.10E-70
CTSV	0.653335363	2.091784096	1.438448733	1.70E-77	9.96E-77
LARP6	3.354677414	2.201082089	-1.153595326	5.05E-53	1.56E-52
TPM2	7.677684401	6.126937407	-1.550746994	3.98E-75	2.17E-74
AIM2	1.06876897	2.166807086	1.098038116	2.79E-34	5.90E-34
NQO1	4.654120846	7.131028141	2.476907295	6.50E-90	5.65E-89
RP11-401P9.4	2.847983833	0.75065954	-2.097324293	4.88E-117	1.86E-115
BIN2	4.060761422	2.694494324	-1.366267098	9.50E-90	8.20E-89
FAM213A	3.891496492	5.083670067	1.192173575	1.16E-106	2.13E-105
FZD4	4.372516844	2.23893154	-2.133585304	2.77E-119	1.31E-117
ARSD	3.397254261	4.699423734	1.302169473	1.52E-78	9.20E-78
ARHGAP31	3.44034076	2.072882622	-1.367458138	1.95E-102	2.84E-101
CTC-529I10.2	2.172499201	1.00081693	-1.17168227	4.33E-68	1.93E-67
GJB3	0.496148883	1.922778878	1.426629996	4.00E-44	1.03E-43
CHKB	5.919886784	4.827967898	-1.091918886	8.93E-65	3.67E-64
IGKV2-30	3.173667849	4.454371414	1.280703565	1.04E-21	1.73E-21
LRCH1	3.407608074	2.29263434	-1.114973733	1.58E-110	3.80E-109
ESPN	1.306455906	3.033523317	1.727067411	4.36E-60	1.60E-59
AGER	9.070047111	4.143216841	-4.92683027	6.69E-122	4.12E-120
FRY	4.615823758	2.913347137	-1.702476621	4.68E-109	1.01E-107
SNHG14	4.165049249	3.103354549	-1.061694699	2.65E-68	1.19E-67
ADAM33	3.740122507	0.711141179	-3.028981327	6.97E-118	2.85E-116
HS6ST2	0.323158206	2.943244813	2.620086606	1.13E-121	6.75E-120
BTNL8	1.684382484	0.305358809	-1.379023675	4.82E-115	1.57E-113
SORBS1	4.3900298	2.14874852	-2.24128128	1.15E-125	1.38E-123
TMEM204	5.537144999	3.147835868	-2.38930913	1.07E-124	1.04E-122
RP3-342P20.2	1.943449667	0.908887835	-1.034561832	1.28E-42	3.19E-42
RP1-257A7.5	3.921707099	2.143601251	-1.778105848	8.11E-99	1.00E-97
CRABP2	2.13757772	6.37027487	4.23269715	2.58E-108	5.32E-107
PDIA6	6.328179778	7.545883674	1.217703897	3.17E-100	4.16E-99
FGFBP2	2.056135726	0.517419074	-1.538716652	5.05E-107	9.45E-106
RP11-536K7.3	2.73197434	1.197843335	-1.534131005	2.77E-111	6.99E-110
DEPTOR	1.79176496	3.289612089	1.497847128	4.88E-85	3.57E-84
ADHFE1	3.660951683	1.741565316	-1.919386367	3.18E-97	3.64E-96
CD53	6.444254629	5.383341939	-1.060912689	4.14E-61	1.55E-60
DBNDD1	1.993982321	3.884950781	1.89096846	3.19E-119	1.50E-117
APOBR	3.30996272	2.284903559	-1.025059161	1.08E-54	3.46E-54
ITGA8	3.965484202	1.586879317	-2.378604885	1.84E-122	1.23E-120
PIP5K1B	3.166854814	1.674049288	-1.492805526	6.50E-77	3.74E-76
SCML1	3.336533054	1.798347065	-1.538185989	4.12E-99	5.17E-98
ACADL	3.241257254	0.967010778	-2.274246475	1.16E-107	2.28E-106
CDC45	0.990063471	2.514816958	1.524753487	1.86E-89	1.59E-88
AC145343.2	0.341922034	1.495266944	1.153344909	2.46E-108	5.07E-107
ROBO3	3.94000959	1.974735492	-1.965274098	1.93E-101	2.68E-100
MFNG	4.497632163	3.099031295	-1.398600868	1.23E-108	2.57E-107
ZFP36	9.106947145	6.695974113	-2.410973031	5.83E-98	6.88E-97
TTC28	2.898871417	1.780279699	-1.118591718	2.42E-101	3.34E-100
2-Mar	4.929073354	3.253762526	-1.675310828	9.88E-121	5.31E-119
TUBB2B	1.050918948	2.463887916	1.412968968	1.68E-38	3.85E-38
RP11-188P20.3	1.596930706	0.51776424	-1.079166466	6.94E-89	5.83E-88
MAP3K12	4.165072584	2.394325853	-1.770746732	1.12E-91	1.04E-90
CEACAM1	2.671188479	3.98282358	1.311635102	2.37E-55	7.71E-55
HYAL1	4.617702479	2.541795648	-2.075906831	1.02E-90	9.06E-90
DNAH14	1.668821938	2.964704425	1.295882487	1.15E-102	1.71E-101
NDRG2	6.693180782	4.292447	-2.400733782	1.02E-117	4.10E-116
CDCA4	1.930685701	3.166168542	1.235482841	4.45E-107	8.35E-106
ADM2	0.618584237	2.036487553	1.417903316	1.56E-101	2.18E-100
PPP1R32	2.845214145	1.502683187	-1.342530958	7.79E-77	4.47E-76
ATP5L	7.178555773	8.226204232	1.047648459	8.40E-101	1.13E-99
BARX2	0.258014682	2.104770695	1.846756013	1.29E-101	1.81E-100
MALAT1	7.825380478	5.884589067	-1.940791411	8.69E-71	4.16E-70
RP11-667K14.4	0.415628956	2.149208057	1.733579101	5.92E-83	4.07E-82
MED20	2.507498753	3.518745235	1.011246481	3.69E-109	8.05E-108
CTC-251I16.1	2.888377557	1.425866853	-1.462510705	3.73E-86	2.84E-85
ASPA	1.546102129	0.338176536	-1.207925593	3.21E-124	2.83E-122
SLC16A3	5.310820852	6.359547552	1.0487267	8.06E-51	2.38E-50
OR7E14P	0.936366334	1.9375443	1.001177965	6.65E-85	4.85E-84
MYADM	6.272422901	5.260909059	-1.011513843	3.24E-54	1.03E-53
RP11-389C8.2	2.194297455	1.024496551	-1.169800904	7.86E-102	1.12E-100
PPIAP22	5.770128811	7.705157274	1.935028463	2.35E-121	1.36E-119
IGKV1-8	3.028863164	5.095915671	2.067052507	1.01E-45	2.67E-45
SFTPC	12.17388133	7.200388039	-4.973493293	8.65E-59	3.05E-58
PNPLA7	2.562359395	1.481020885	-1.08133851	3.44E-62	1.32E-61
MYL3	2.166060803	0.557461053	-1.60859975	2.33E-125	2.60E-123
LY6G5B	3.8210808	2.007702543	-1.813378257	3.35E-81	2.20E-80
CTD-2033D15.3	3.145729144	0.646282676	-2.499446467	4.25E-105	7.17E-104
BIRC5	1.199117805	3.594006936	2.39488913	1.45E-108	3.03E-107
USP9Y	2.450972203	1.168952859	-1.282019344	6.94E-34	1.46E-33
EPOR	3.633008588	2.605468648	-1.02753994	1.63E-72	8.15E-72
GGCX	4.16276589	5.168505569	1.005739679	4.06E-96	4.42E-95
GALNT6	1.8407401	3.720008838	1.879268737	1.54E-88	1.27E-87
RP5-839B4.8	1.796790698	0.762876612	-1.033914086	2.44E-55	7.92E-55
IGKC	10.32281297	12.84135874	2.518545774	6.22E-64	2.50E-63
CALD1	6.711806249	5.306144056	-1.405662193	1.29E-87	1.03E-86
STAB1	6.288429786	4.478679079	-1.809750707	1.76E-80	1.13E-79
CACNA1D	2.379348008	1.221337419	-1.158010589	2.22E-72	1.11E-71
BPHL	2.83554582	4.327864489	1.492318669	1.00E-119	4.93E-118
NFE2L3	2.90228697	3.912750052	1.010463082	2.36E-59	8.46E-59
MND1	0.662379437	2.06356066	1.401181223	3.67E-105	6.21E-104
CRIPT	2.408407121	3.457381866	1.048974745	1.88E-113	5.41E-112
ACY1	3.759491866	4.816223248	1.056731382	6.94E-78	4.11E-77
IDH1	4.793308706	6.185215037	1.391906331	7.95E-75	4.28E-74
MMP23A	3.493046878	2.334439253	-1.158607625	2.32E-59	8.31E-59
RP5-855D21.1	2.328304167	0.935567829	-1.392736338	1.06E-84	7.67E-84
DGCR5	0.189032615	1.286543124	1.097510509	1.20E-95	1.28E-94
SMCHD1	4.301333667	3.227428362	-1.073905305	1.18E-58	4.16E-58
HK3	4.989722062	2.689680575	-2.300041486	5.47E-110	1.28E-108
MS4A15	4.853216628	2.103264624	-2.749952004	4.93E-71	2.38E-70
PPBP	3.261103404	0.933613131	-2.327490273	1.16E-91	1.07E-90
ADAMTS2	4.133512654	2.440889221	-1.692623433	4.53E-79	2.79E-78
TXNIP	9.095356011	7.611093878	-1.484262133	6.76E-83	4.64E-82
SOCS2	5.176663832	3.209749437	-1.966914396	1.17E-93	1.15E-92
CEACAM5	1.835054321	5.933357872	4.098303551	4.04E-80	2.57E-79
IL18R1	3.926574396	1.158798983	-2.767775413	1.29E-118	5.73E-117
MEF2A	4.668374461	3.476729367	-1.191645094	2.75E-123	2.03E-121
MRPL3	4.578620103	5.889774292	1.311154189	3.03E-116	1.10E-114
DAAM2	3.684865021	2.328613416	-1.356251605	1.24E-77	7.27E-77
UBASH3B	2.573322606	1.562585922	-1.010736684	3.72E-66	1.59E-65
DDIT4L	0.540764367	1.821173195	1.280408828	7.86E-70	3.67E-69
BSPRY	2.464897196	3.75104374	1.286146543	1.58E-96	1.76E-95
RP11-513N24.1	1.263230326	0.196925948	-1.066304378	6.50E-111	1.59E-109
EIF1AXP1	1.596289575	2.994084935	1.39779536	7.62E-77	4.38E-76
IGHV4-39	3.472109333	5.795219412	2.323110079	2.29E-49	6.55E-49
NPDC1	6.467356465	4.51956599	-1.947790475	5.36E-95	5.56E-94
CTD-2020K17.1	3.012191603	1.733881134	-1.278310469	1.61E-49	4.62E-49
SPEG	3.283360159	2.01875029	-1.264609869	5.90E-50	1.71E-49
GALNT14	1.060735554	3.022939329	1.962203775	1.97E-74	1.04E-73
TNNI2	3.118835246	1.644726395	-1.474108851	7.14E-80	4.50E-79
H1FX-AS1	2.383977096	1.22179164	-1.162185456	3.62E-76	2.04E-75
SYNE4	2.277849327	3.400207424	1.122358096	9.01E-64	3.61E-63
IGLV8-61	2.67191048	4.344074571	1.672164091	1.53E-29	2.96E-29
CDKN2D	4.165572433	2.893786567	-1.271785866	2.91E-91	2.65E-90
MRPS12	4.096353846	5.103904878	1.007551032	5.91E-76	3.30E-75
TGFA	1.584684857	2.959854537	1.37516968	7.43E-76	4.13E-75
HMGB3	3.519140069	6.906293012	3.387152943	2.53E-127	4.46E-125
SBF2	3.867836036	2.78627056	-1.081565476	1.36E-78	8.22E-78
OIP5	0.46593247	1.716140492	1.250208021	1.93E-107	3.70E-106
MEDAG	2.843883403	1.75759469	-1.086288712	1.07E-30	2.12E-30
ACR	1.524716327	0.261668798	-1.263047529	9.48E-113	2.59E-111
NXT2	2.05339276	3.295354234	1.241961474	1.66E-103	2.55E-102
TBX4	4.467247134	1.750193801	-2.717053333	4.19E-129	1.04E-126
IGLL5	4.459290607	6.46789653	2.008605923	3.89E-51	1.16E-50
ORC6	1.078088158	2.346107683	1.268019525	9.99E-89	8.33E-88
SH3RF3	2.407441054	1.325067661	-1.082373393	2.06E-92	1.96E-91
ARHGAP4	5.612325156	4.245580314	-1.366744842	5.26E-66	2.24E-65
RP11-787I22.3	1.499342807	0.400518633	-1.098824174	9.40E-96	1.01E-94
CR2	0.253833403	1.411736357	1.157902954	4.85E-87	3.80E-86
KRT18	7.147640736	9.082114475	1.934473739	1.90E-106	3.42E-105
RPL41P2	4.703693785	6.074111897	1.370418112	2.99E-76	1.69E-75
LRRN3	1.819953037	0.541984897	-1.277968141	4.89E-94	4.88E-93
HCLS1	5.981551734	4.820920933	-1.160630801	4.60E-70	2.16E-69
MAP7D3	2.587223319	1.507834645	-1.079388674	1.91E-97	2.21E-96
RP3-395M20.8	3.396928779	2.030848233	-1.366080546	1.14E-72	5.74E-72
PSAT1	1.709556926	3.366750115	1.657193189	1.05E-61	3.99E-61
MTCH2	4.700045388	5.93805005	1.238004662	1.53E-104	2.51E-103
FAM60A	3.925074751	5.089296799	1.164222048	3.95E-93	3.84E-92
FGG	3.769186986	4.871356729	1.102169743	1.41E-05	1.68E-05
SPARCL1	8.316296556	5.53437459	-2.781921966	1.20E-127	2.27E-125
RP11-350J20.12	0.872593278	2.912607992	2.040014715	3.36E-86	2.56E-85
DSE	3.816257744	2.807417103	-1.008840641	8.63E-67	3.74E-66
MTX1	4.612059309	5.658586292	1.046526983	1.66E-104	2.70E-103
CCM2L	3.145357888	1.255243604	-1.890114284	9.09E-115	2.87E-113
RASGRP4	3.032507424	0.950224403	-2.08228302	6.46E-131	2.89E-128
UAP1L1	3.56900771	2.378245327	-1.190762383	3.98E-72	1.97E-71
RP11-147I3.1	2.114956312	1.011797289	-1.103159023	3.20E-65	1.33E-64
EFEMP1	6.90427735	5.178813519	-1.72546383	2.70E-98	3.24E-97
TTC14	4.304838128	3.108659895	-1.196178233	2.16E-78	1.30E-77
PLLP	5.289341799	3.829874382	-1.459467417	2.99E-63	1.18E-62
IGHA1	9.222843042	10.76729226	1.544449216	8.81E-28	1.66E-27
PABPC1P3	1.439835875	0.394432884	-1.045402991	9.30E-78	5.47E-77
ARMCX4	2.893700262	1.859839472	-1.03386079	5.92E-90	5.15E-89
ODC1	4.97984941	6.029584098	1.049734688	5.85E-26	1.06E-25
NCF2	5.507387866	4.112708192	-1.394679674	4.86E-81	3.17E-80
PTPRS	4.360054171	2.91290681	-1.447147361	7.65E-88	6.18E-87
SOX7	3.65564375	1.352368305	-2.303275445	2.33E-119	1.11E-117
ARHGEF15	4.194248032	1.813254191	-2.380993841	1.76E-127	3.18E-125
SLC52A2	4.282666396	5.56502399	1.282357595	4.30E-104	6.85E-103
MGAT3	2.694012738	1.109180828	-1.58483191	8.94E-91	8.00E-90
TOX2	4.457919417	2.077764825	-2.380154592	3.48E-120	1.78E-118
MICAL1	5.594682475	3.747513929	-1.847168545	8.83E-104	1.38E-102
EHD2	6.345476459	5.106788156	-1.238688303	1.48E-87	1.18E-86
GLIPR2	5.439902036	4.044183575	-1.395718462	5.24E-90	4.56E-89
SHFM1	6.364800337	7.605713063	1.240912726	1.15E-110	2.79E-109
TMC5	3.993564088	5.147337157	1.153773069	8.87E-48	2.45E-47
FAM3C2	2.752269325	4.762460575	2.01019125	9.71E-107	1.79E-105
PDE2A	3.333542835	1.396246287	-1.937296548	5.43E-121	3.00E-119
BCAS4	1.792983906	3.208873859	1.415889953	2.90E-97	3.33E-96
NOTCH1	4.123673546	2.577686996	-1.54598655	7.55E-115	2.41E-113
IGHV3-23	4.696673009	7.295227198	2.59855419	1.41E-61	5.34E-61
ADGRG3	3.384475536	0.736484986	-2.64799055	1.85E-102	2.70E-101
FERMT2	5.364464096	3.729321215	-1.635142882	5.51E-125	5.62E-123
JAM3	4.582127141	2.726476398	-1.855650742	4.50E-112	1.19E-110
RBM47	3.746529157	4.945657053	1.199127896	6.80E-92	6.36E-91
NKTR	5.306873879	3.472702181	-1.834171698	1.62E-85	1.20E-84
COL1A1	6.416090861	8.154472221	1.73838136	9.51E-52	2.86E-51
PHC1	4.129320085	3.037848428	-1.091471656	1.25E-79	7.82E-79
LINC01082	1.665345426	0.20917434	-1.456171086	6.86E-121	3.76E-119
SIGLEC14	2.627321215	1.58687236	-1.040448855	1.10E-56	3.68E-56
CYP2J2	0.983580284	2.230506072	1.246925787	6.60E-84	4.67E-83
C15orf48	2.563693183	5.593536789	3.029843607	3.85E-96	4.20E-95
CENPM	1.834205507	3.296900435	1.462694928	2.44E-72	1.22E-71
IL1R2	3.882928512	1.814099157	-2.068829355	2.37E-52	7.22E-52
SYT15	2.690109853	1.194358852	-1.495751002	9.09E-84	6.41E-83
EPAS1	8.856520834	6.057720822	-2.798800012	1.16E-132	1.42E-129
TMEM254	3.216809475	4.282910598	1.066101123	1.68E-95	1.79E-94
EFNB1	4.82089705	3.025315498	-1.795581552	1.90E-102	2.76E-101
RP11-513M16.7	2.103190982	1.012701925	-1.090489058	5.77E-81	3.76E-80
SPAG5	2.493099168	3.624470467	1.131371299	3.27E-49	9.34E-49
LAMA5	7.129070979	5.412943177	-1.716127801	1.02E-70	4.86E-70
RFX2	3.46433627	2.382906737	-1.081429533	5.99E-67	2.60E-66
NECAB1	1.725194005	0.554097378	-1.171096627	1.18E-106	2.15E-105
ANKRD29	4.679399619	2.633560324	-2.045839294	7.20E-93	6.94E-92
EBF4	3.582776755	2.53766111	-1.045115644	1.60E-53	5.01E-53
TMEM156	0.964149355	1.993474539	1.029325184	2.38E-51	7.10E-51
U91328.1	1.0240508	2.317265075	1.293214276	7.50E-19	1.19E-18
MEX3A	0.430643005	2.213568198	1.782925193	2.47E-116	9.07E-115
ICAM5	3.436687555	1.775857185	-1.66083037	1.93E-76	1.10E-75
SEPP1	8.007790857	6.735638592	-1.272152265	3.73E-61	1.40E-60
SESN1	4.446233817	2.892798989	-1.553434829	4.11E-114	1.23E-112
FA2H	1.075394037	3.008128232	1.932734196	8.67E-102	1.23E-100
DIO2	0.493078543	1.512992886	1.019914343	4.10E-64	1.65E-63
S1PR4	3.36911218	2.104776558	-1.264335623	8.27E-81	5.36E-80
ADAMDEC1	0.764551021	2.27719238	1.512641359	4.30E-69	1.97E-68
ASF1B	1.290864843	3.175026169	1.884161326	2.74E-107	5.23E-106
AP001631.9	0.225987283	1.454646002	1.228658719	6.77E-79	4.14E-78
ID1	7.026700449	5.406710619	-1.619989831	2.49E-57	8.46E-57
INMT-FAM188B	1.643426232	0.295352021	-1.348074211	2.94E-110	6.98E-109
TRGC2	2.857951016	1.798006813	-1.059944204	2.98E-51	8.86E-51
LSM5	4.583965828	5.65127492	1.067309093	1.06E-97	1.24E-96
CYP2B7P	6.032683942	4.798562507	-1.234121435	2.94E-20	4.77E-20
LINC00857	0.673194513	1.818128569	1.144934056	3.11E-110	7.37E-109
PKIG	6.528705273	4.859196751	-1.669508522	5.78E-105	9.68E-104
RP13-516M14.10	2.695559237	1.164574721	-1.530984516	4.46E-70	2.10E-69
PLIN2	6.522329899	5.16772144	-1.354608459	2.62E-69	1.21E-68
ANXA8L1	3.654522206	1.3912714	-2.263250807	1.35E-88	1.12E-87
TSPAN6	3.357388906	4.84082945	1.483440545	2.38E-111	6.06E-110
CCBE1	2.936306701	0.943096809	-1.993209891	4.75E-105	7.98E-104
HBB	9.783490536	5.244633801	-4.538856734	4.70E-108	9.47E-107
RN7SL608P	2.521458592	0.954343936	-1.567114657	6.00E-74	3.14E-73
AHNAK2	2.171348525	3.77689767	1.605549145	3.44E-50	9.99E-50
PGA3	1.396233412	0.258954603	-1.137278809	1.46E-32	2.99E-32
ADGRF5	6.036133785	4.677172469	-1.358961316	6.64E-48	1.84E-47
UNC13D	5.360183145	3.960703612	-1.399479533	5.90E-77	3.41E-76
CPAMD8	4.282516522	2.628797692	-1.65371883	2.30E-64	9.34E-64
FGB	0.483792361	2.525913294	2.042120933	5.74E-15	8.45E-15
CD274	3.595250277	2.213103627	-1.382146651	1.01E-65	4.25E-65
GSTZ1	3.101437073	4.206839648	1.105402575	1.45E-69	6.75E-69
GINS4	0.772483812	1.827893177	1.055409365	3.19E-91	2.90E-90
MUC20	3.040498699	5.097572295	2.057073597	3.60E-81	2.36E-80
ARMC1	2.858321473	3.928834378	1.070512905	7.13E-109	1.52E-107
PLA2G5	2.603482383	1.328950377	-1.274532006	1.45E-95	1.55E-94
SLC29A4	0.862761271	2.820430258	1.957668987	8.38E-94	8.30E-93
CTGF	7.200749828	5.913421626	-1.287328202	1.08E-47	2.99E-47
RP4-669L17.10	4.596478247	3.496044752	-1.100433495	7.49E-53	2.31E-52
HIST1H4J	1.875123749	3.142522639	1.26739889	2.32E-63	9.22E-63
PHLDB1	5.915763008	4.617089946	-1.298673062	4.06E-84	2.88E-83
MARCO	6.522677394	4.338632316	-2.184045077	9.04E-64	3.62E-63
ASRGL1	4.416039317	3.41519259	-1.000846727	2.10E-34	4.45E-34
SLED1	1.660735831	0.271296775	-1.389439055	1.70E-88	1.41E-87
BZW1	5.581132073	6.636889164	1.055757091	1.73E-89	1.48E-88
